C0 (341 genes)	C1 (174 genes)	C2 (143 genes)	C3 (329 genes)
Genes	Genes	Genes	Genes
MED134_00035	MED134_00030	MED134_00085	MED134_00080
MED134_00045	MED134_00055	MED134_00375	MED134_00145
MED134_00060	MED134_00115	MED134_00435	MED134_00150
MED134_00190	MED134_00125	MED134_00635	MED134_00155
MED134_00215	MED134_00130	MED134_00640	MED134_00270
MED134_00220	MED134_00170	MED134_00755	MED134_00335
MED134_00290	MED134_00350	MED134_00815	MED134_00340
MED134_00355	MED134_01080	MED134_00820	MED134_00380
MED134_00360	MED134_01175	MED134_00835	MED134_00415
MED134_00425	MED134_01200	MED134_00865	MED134_00420
MED134_00445	MED134_01240	MED134_00880	MED134_00500
MED134_00470	MED134_01370	MED134_00910	MED134_00505
MED134_00510	MED134_01455	MED134_00985	MED134_00575
MED134_00515	MED134_01920	MED134_01075	MED134_00585
MED134_00555	MED134_01935	MED134_01145	MED134_00610
MED134_00560	MED134_02030	MED134_01185	MED134_00630
MED134_00570	MED134_02185	MED134_01465	MED134_00705
MED134_00660	MED134_02190	MED134_01650	MED134_00715
MED134_00700	MED134_02195	MED134_01655	MED134_00765
MED134_00725	MED134_02350	MED134_01880	MED134_00770
MED134_00730	MED134_02545	MED134_01885	MED134_00810
MED134_00745	MED134_02595	MED134_01890	MED134_00850
MED134_00750	MED134_02675	MED134_01900	MED134_00855
MED134_00785	MED134_02685	MED134_02150	MED134_01005
MED134_00825	MED134_02705	MED134_02245	MED134_01030
MED134_00950	MED134_02745	MED134_02250	MED134_01250
MED134_00965	MED134_02875	MED134_02255	MED134_01290
MED134_01010	MED134_02930	MED134_02290	MED134_01295
MED134_01045	MED134_03025	MED134_02295	MED134_01385
MED134_01095	MED134_03030	MED134_02360	MED134_01390
MED134_01100	MED134_03040	MED134_02390	MED134_01420
MED134_01190	MED134_03169	MED134_02415	MED134_01430
MED134_01195	MED134_03289	MED134_02420	MED134_01435
MED134_01205	MED134_03459	MED134_02425	MED134_01505
MED134_01350	MED134_03614	MED134_02505	MED134_01510
MED134_01415	MED134_03654	MED134_02510	MED134_01570
MED134_01460	MED134_03774	MED134_02605	MED134_01575
MED134_01480	MED134_04019	MED134_02695	MED134_01580
MED134_01520	MED134_04239	MED134_02905	MED134_01620
MED134_01585	MED134_04324	MED134_02950	MED134_01625
MED134_01615	MED134_04409	MED134_03159	MED134_01695
MED134_01660	MED134_04444	MED134_03164	MED134_01700
MED134_01665	MED134_04504	MED134_03669	MED134_01800
MED134_01760	MED134_04619	MED134_04029	MED134_01870
MED134_01785	MED134_04629	MED134_04059	MED134_01875
MED134_01805	MED134_04634	MED134_04064	MED134_01895
MED134_01835	MED134_04674	MED134_04109	MED134_02010
MED134_01840	MED134_04784	MED134_04179	MED134_02020
MED134_01855	MED134_05059	MED134_04229	MED134_02060
MED134_01945	MED134_05084	MED134_04459	MED134_02095
MED134_01950	MED134_05129	MED134_04524	MED134_02170
MED134_02120	MED134_05149	MED134_04539	MED134_02225
MED134_02140	MED134_05234	MED134_04544	MED134_02285
MED134_02145	MED134_05304	MED134_04859	MED134_02430
MED134_02175	MED134_05369	MED134_05034	MED134_02470
MED134_02235	MED134_05559	MED134_05114	MED134_02495
MED134_02240	MED134_05599	MED134_05194	MED134_02500
MED134_02310	MED134_05604	MED134_05404	MED134_02785
MED134_02330	MED134_05614	MED134_05409	MED134_02865
MED134_02340	MED134_05869	MED134_05919	MED134_03055
MED134_02345	MED134_05879	MED134_05999	MED134_03060
MED134_02355	MED134_05954	MED134_06079	MED134_03065
MED134_02525	MED134_05959	MED134_06114	MED134_03075
MED134_02540	MED134_06024	MED134_06259	MED134_03339
MED134_02550	MED134_06239	MED134_06479	MED134_03379
MED134_02555	MED134_06429	MED134_06614	MED134_03424
MED134_02615	MED134_06434	MED134_06654	MED134_03429
MED134_02660	MED134_06534	MED134_07094	MED134_03469
MED134_02665	MED134_06639	MED134_07354	MED134_03509
MED134_02680	MED134_06674	MED134_07359	MED134_03564
MED134_02735	MED134_06689	MED134_07441	MED134_03599
MED134_02805	MED134_06824	MED134_07586	MED134_03689
MED134_02925	MED134_06834	MED134_07661	MED134_03734
MED134_02940	MED134_06839	MED134_07746	MED134_03744
MED134_02955	MED134_06969	MED134_07751	MED134_03819
MED134_03045	MED134_07014	MED134_07971	MED134_03894
MED134_03100	MED134_07019	MED134_07976	MED134_03949
MED134_03174	MED134_07024	MED134_08081	MED134_03954
MED134_03219	MED134_07029	MED134_08201	MED134_04184
MED134_03254	MED134_07034	MED134_08371	MED134_04194
MED134_03259	MED134_07039	MED134_08386	MED134_04219
MED134_03264	MED134_07044	MED134_08391	MED134_04234
MED134_03274	MED134_07049	MED134_08396	MED134_04389
MED134_03294	MED134_07059	MED134_08401	MED134_04394
MED134_03364	MED134_07189	MED134_08596	MED134_04399
MED134_03394	MED134_07219	MED134_08751	MED134_04424
MED134_03534	MED134_07229	MED134_09011	MED134_04429
MED134_03604	MED134_07239	MED134_09196	MED134_04434
MED134_03644	MED134_07264	MED134_09251	MED134_04534
MED134_03649	MED134_07379	MED134_09331	MED134_04584
MED134_03659	MED134_07389	MED134_09426	MED134_04689
MED134_03679	MED134_07581	MED134_09811	MED134_04709
MED134_03684	MED134_07726	MED134_10136	MED134_04769
MED134_03714	MED134_07731	MED134_10141	MED134_04804
MED134_03724	MED134_07736	MED134_10171	MED134_04854
MED134_03749	MED134_07786	MED134_10181	MED134_04944
MED134_03754	MED134_07896	MED134_10256	MED134_04969
MED134_03759	MED134_08051	MED134_10261	MED134_04974
MED134_03769	MED134_08111	MED134_10266	MED134_05039
MED134_03789	MED134_08151	MED134_10286	MED134_05054
MED134_03794	MED134_08161	MED134_10336	MED134_05104
MED134_03799	MED134_08231	MED134_10376	MED134_05109
MED134_03834	MED134_08411	MED134_10406	MED134_05169
MED134_03839	MED134_08426	MED134_10550	MED134_05184
MED134_03854	MED134_08576	MED134_10580	MED134_05284
MED134_03874	MED134_08581	MED134_10615	MED134_05384
MED134_03879	MED134_08631	MED134_10835	MED134_05429
MED134_03884	MED134_08646	MED134_10875	MED134_05434
MED134_03974	MED134_08726	MED134_10880	MED134_05444
MED134_03999	MED134_08791	MED134_10920	MED134_05449
MED134_04039	MED134_08821	MED134_11311	MED134_05469
MED134_04049	MED134_08861	MED134_11636	MED134_05529
MED134_04079	MED134_09066	MED134_11996	MED134_05544
MED134_04139	MED134_09111	MED134_12016	MED134_05724
MED134_04144	MED134_09121	MED134_12021	MED134_05784
MED134_04149	MED134_09131	MED134_12081	MED134_05789
MED134_04199	MED134_09161	MED134_12276	MED134_05794
MED134_04204	MED134_09236	MED134_12281	MED134_05814
MED134_04224	MED134_09296	MED134_12441	MED134_05914
MED134_04274	MED134_09336	MED134_12516	MED134_06204
MED134_04279	MED134_09351	MED134_12631	MED134_06254
MED134_04289	MED134_09401	MED134_12636	MED134_06269
MED134_04329	MED134_09406	MED134_12776	MED134_06274
MED134_04344	MED134_09431	MED134_12781	MED134_06279
MED134_04374	MED134_09436	MED134_12896	MED134_06284
MED134_04379	MED134_09446	MED134_12901	MED134_06339
MED134_04414	MED134_09481	MED134_12906	MED134_06544
MED134_04419	MED134_09486	MED134_12941	MED134_06549
MED134_04499	MED134_09631	MED134_13206	MED134_06564
MED134_04574	MED134_09821	MED134_13366	MED134_06604
MED134_04579	MED134_09971	MED134_13386	MED134_06619
MED134_04749	MED134_09976	MED134_13736	MED134_06634
MED134_04754	MED134_10046	MED134_13826	MED134_06649
MED134_04759	MED134_10081	MED134_13831	MED134_06849
MED134_04779	MED134_10301	MED134_13891	MED134_07149
MED134_04839	MED134_10326	MED134_13896	MED134_07154
MED134_04954	MED134_10995	MED134_14156	MED134_07304
MED134_04959	MED134_11135	MED134_14251	MED134_07309
MED134_05029	MED134_11145	MED134_14401	MED134_07314
MED134_05144	MED134_11235	MED134_14431	MED134_07456
MED134_05174	MED134_11466	MED134_14647	MED134_07461
MED134_05209	MED134_11756	MED134_15379	MED134_07481
MED134_05214	MED134_11761	MED134_17896	MED134_07506
MED134_05219	MED134_11776		MED134_07516
MED134_05229	MED134_11801		MED134_07521
MED134_05239	MED134_11851		MED134_07536
MED134_05244	MED134_12101		MED134_07541
MED134_05274	MED134_12171		MED134_07546
MED134_05279	MED134_12226		MED134_07551
MED134_05294	MED134_12236		MED134_07591
MED134_05424	MED134_12816		MED134_07651
MED134_05484	MED134_12956		MED134_07656
MED134_05489	MED134_12991		MED134_07666
MED134_05569	MED134_13041		MED134_07756
MED134_05574	MED134_13131		MED134_07876
MED134_05589	MED134_13196		MED134_08011
MED134_05629	MED134_13211		MED134_08036
MED134_05634	MED134_13261		MED134_08066
MED134_05679	MED134_13276		MED134_08071
MED134_05684	MED134_13286		MED134_08076
MED134_05844	MED134_13371		MED134_08211
MED134_05849	MED134_13656		MED134_08226
MED134_05859	MED134_13666		MED134_08306
MED134_05874	MED134_13681		MED134_08316
MED134_05884	MED134_13686		MED134_08326
MED134_05899	MED134_13866		MED134_08336
MED134_05904	MED134_14036		MED134_08356
MED134_05909	MED134_14041		MED134_08361
MED134_05924	MED134_14161		MED134_08366
MED134_05934	MED134_14562		MED134_08376
MED134_06069	MED134_14572		MED134_08406
MED134_06189	MED134_14602		MED134_08561
MED134_06289	MED134_15348		MED134_08921
MED134_06309	MED134_16471		MED134_08926
MED134_06344			MED134_08936
MED134_06359			MED134_08991
MED134_06459			MED134_09021
MED134_06494			MED134_09026
MED134_06684			MED134_09091
MED134_06789			MED134_09166
MED134_06794			MED134_09186
MED134_06889			MED134_09221
MED134_06894			MED134_09231
MED134_06959			MED134_09256
MED134_06974			MED134_09461
MED134_06989			MED134_09806
MED134_07054			MED134_09871
MED134_07064			MED134_09876
MED134_07074			MED134_09886
MED134_07099			MED134_09926
MED134_07129			MED134_09931
MED134_07159			MED134_10016
MED134_07164			MED134_10021
MED134_07194			MED134_10036
MED134_07234			MED134_10041
MED134_07269			MED134_10056
MED134_07491			MED134_10061
MED134_07576			MED134_10131
MED134_07611			MED134_10281
MED134_07716			MED134_10321
MED134_07721			MED134_10371
MED134_07776			MED134_10381
MED134_07871			MED134_10535
MED134_07891			MED134_10540
MED134_07946			MED134_10545
MED134_08006			MED134_10555
MED134_08046			MED134_10565
MED134_08166			MED134_10585
MED134_08216			MED134_10610
MED134_08236			MED134_10690
MED134_08266			MED134_10695
MED134_08496			MED134_10730
MED134_08501			MED134_10735
MED134_08506			MED134_10740
MED134_08511			MED134_10825
MED134_08521			MED134_10830
MED134_08536			MED134_10855
MED134_08541			MED134_10860
MED134_08621			MED134_10865
MED134_08651			MED134_10900
MED134_08656			MED134_10925
MED134_08801			MED134_11025
MED134_08811			MED134_11040
MED134_08816			MED134_11055
MED134_08851			MED134_11175
MED134_08856			MED134_11215
MED134_08911			MED134_11220
MED134_08981			MED134_11240
MED134_08986			MED134_11245
MED134_09101			MED134_11250
MED134_09126			MED134_11286
MED134_09156			MED134_11291
MED134_09171			MED134_11301
MED134_09301			MED134_11346
MED134_09306			MED134_11351
MED134_09571			MED134_11356
MED134_09621			MED134_11421
MED134_09746			MED134_11451
MED134_09766			MED134_11501
MED134_09996			MED134_11551
MED134_10071			MED134_11601
MED134_10076			MED134_11646
MED134_10086			MED134_11816
MED134_10091			MED134_11836
MED134_10096			MED134_12006
MED134_10101			MED134_12061
MED134_10106			MED134_12076
MED134_10271			MED134_12106
MED134_10436			MED134_12156
MED134_10620			MED134_12161
MED134_10625			MED134_12191
MED134_10630			MED134_12196
MED134_10840			MED134_12256
MED134_10870			MED134_12351
MED134_10980			MED134_12391
MED134_10990			MED134_12396
MED134_11125			MED134_12416
MED134_11140			MED134_12421
MED134_11165			MED134_12431
MED134_11170			MED134_12436
MED134_11326			MED134_12446
MED134_11366			MED134_12451
MED134_11376			MED134_12456
MED134_11471			MED134_12461
MED134_11591			MED134_12471
MED134_11631			MED134_12476
MED134_11786			MED134_12481
MED134_11861			MED134_12486
MED134_11881			MED134_12491
MED134_11896			MED134_12526
MED134_12036			MED134_12596
MED134_12041			MED134_12601
MED134_12046			MED134_12921
MED134_12096			MED134_12926
MED134_12141			MED134_12931
MED134_12146			MED134_12936
MED134_12206			MED134_12951
MED134_12211			MED134_12996
MED134_12216			MED134_13011
MED134_12231			MED134_13046
MED134_12241			MED134_13101
MED134_12246			MED134_13111
MED134_12271			MED134_13116
MED134_12346			MED134_13401
MED134_12551			MED134_13421
MED134_12556			MED134_13451
MED134_12701			MED134_13456
MED134_12711			MED134_13461
MED134_12736			MED134_13516
MED134_12741			MED134_13536
MED134_12746			MED134_13711
MED134_12791			MED134_13741
MED134_12796			MED134_13806
MED134_12806			MED134_13851
MED134_12811			MED134_13921
MED134_12831			MED134_14001
MED134_12846			MED134_14056
MED134_12856			MED134_14061
MED134_12981			MED134_14066
MED134_13031			MED134_14076
MED134_13056			MED134_14181
MED134_13091			MED134_14191
MED134_13136			MED134_14226
MED134_13151			MED134_14246
MED134_13161			MED134_14326
MED134_13376			MED134_14341
MED134_13441			MED134_14346
MED134_13501			MED134_14381
MED134_13506			MED134_14411
MED134_13511			MED134_14426
MED134_13661			MED134_14436
MED134_13781			MED134_14441
MED134_13816			MED134_14446
MED134_13871			MED134_14527
MED134_13906			MED134_14577
MED134_13916			MED134_14612
MED134_13946			MED134_14637
MED134_14011			MED134_14642
MED134_14126			MED134_14667
MED134_14141			MED134_14692
MED134_14166			MED134_14717
MED134_14216			MED134_14767
MED134_14281			MED134_14782
MED134_14311			MED134_14792
MED134_14416			MED134_14802
MED134_14522			MED134_15094
MED134_14582			MED134_15124
MED134_14597			MED134_15519
MED134_14622			MED134_17085
MED134_14677			
MED134_14682			
MED134_14722			
MED134_14752			
MED134_15304			
MED134_15306			
MED134_15821			
MED134_15830			
MED134_16706			
MED134_16708			
MED134_16709			
MED134_17467			
